LoopCnt,H10Mode,H10AssistLevel,ImuHubConnected,LeftHipAngle,RightHipAngle,LeftThighAngle,RightThighAngle,LeftHipTorque,RightHipTorque,LeftHipMotorAngle,RightHipMotorAngle,LeftHipImuGlobalAccX,LeftHipImuGlobalAccY,LeftHipImuGlobalAccZ,LeftHipImuGlobalGyrX,LeftHipImuGlobalGyrY,LeftHipImuGlobalGyrZ,RightHipImuGlobalAccX,RightHipImuGlobalAccY,RightHipImuGlobalAccZ,RightHipImuGlobalGyrX,RightHipImuGlobalGyrY,RightHipImuGlobalGyrZ,TrunkIMU_LocalAccX,TrunkIMU_LocalAccY,TrunkIMU_LocalAccZ,TrunkIMU_LocalGyrX,TrunkIMU_LocalGyrY,TrunkIMU_LocalGyrZ,TrunkIMU_QuatW,TrunkIMU_QuatX,TrunkIMU_QuatY,TrunkIMU_QuatZ,L_THIGH_IMU_QuatW,L_THIGH_IMU_QuatX,L_THIGH_IMU_QuatY,L_THIGH_IMU_QuatZ,L_THIGH_IMU_AccX,L_THIGH_IMU_AccY,L_THIGH_IMU_AccZ,L_THIGH_IMU_GyrX,L_THIGH_IMU_GyrY,L_THIGH_IMU_GyrZ,L_SHANK_IMU_QuatW,L_SHANK_IMU_QuatX,L_SHANK_IMU_QuatY,L_SHANK_IMU_QuatZ,L_SHANK_IMU_AccX,L_SHANK_IMU_AccY,L_SHANK_IMU_AccZ,L_SHANK_IMU_GyrX,L_SHANK_IMU_GyrY,L_SHANK_IMU_GyrZ,L_FOOT_IMU_QuatW,L_FOOT_IMU_QuatX,L_FOOT_IMU_QuatY,L_FOOT_IMU_QuatZ,L_FOOT_IMU_AccX,L_FOOT_IMU_AccY,L_FOOT_IMU_AccZ,L_FOOT_IMU_GyrX,L_FOOT_IMU_GyrY,L_FOOT_IMU_GyrZ,R_THIGH_IMU_QuatW,R_THIGH_IMU_QuatX,R_THIGH_IMU_QuatY,R_THIGH_IMU_QuatZ,R_THIGH_IMU_AccX,R_THIGH_IMU_AccY,R_THIGH_IMU_AccZ,R_THIGH_IMU_GyrX,R_THIGH_IMU_GyrY,R_THIGH_IMU_GyrZ,R_SHANK_IMU_QuatW,R_SHANK_IMU_QuatX,R_SHANK_IMU_QuatY,R_SHANK_IMU_QuatZ,R_SHANK_IMU_AccX,R_SHANK_IMU_AccY,R_SHANK_IMU_AccZ,R_SHANK_IMU_GyrX,R_SHANK_IMU_GyrY,R_SHANK_IMU_GyrZ,R_FOOT_IMU_QuatW,R_FOOT_IMU_QuatX,R_FOOT_IMU_QuatY,R_FOOT_IMU_QuatZ,R_FOOT_IMU_AccX,R_FOOT_IMU_AccY,R_FOOT_IMU_AccZ,R_FOOT_IMU_GyrX,R_FOOT_IMU_GyrY,R_FOOT_IMU_GyrZ
525669,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0201,0.0037,-23.7085,-17.7759,0.0622,9.9240,0.0192,0.5493,-0.9460,-2.1362,0.0622,9.9240,0.0192,0.5493,-0.9460,-2.1362,-8.9341,1.3062,4.2483,0.0080,-0.1689,0.0146,0.4953,-0.3883,0.3780,0.6790,0.5621,0.4114,0.5857,-0.4142,-9.8200,-0.3100,-0.2100,0.0000,0.0000,0.0000,0.4188,0.6161,0.4599,0.4830,1.6700,9.5400,-1.7100,0.0000,0.2000,0.0000,0.3006,0.5493,0.4992,0.5988,3.0800,9.3700,-0.9800,0.0000,0.1000,0.0000,-0.5052,-0.4913,-0.5144,0.4884,-9.7800,-0.1200,-0.0100,0.0000,0.0000,0.0000,-0.4281,-0.5719,0.4444,0.5404,-2.4800,9.5300,-0.7000,0.0000,0.0000,0.0000,0.5185,0.6438,0.1974,0.5269,4.6300,8.5400,0.8900,0.0000,0.0000,0.0000
525670,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0092,0.0165,-23.7085,-17.7759,0.0263,9.8090,0.0048,0.6714,-0.5798,-2.2583,0.0263,9.8090,0.0048,0.6714,-0.5798,-2.2583,-8.8577,1.3147,4.2507,0.0042,-0.1623,0.0115,0.4954,-0.3880,0.3778,0.6792,0.5620,0.4114,0.5857,-0.4142,-9.8200,-0.3200,-0.2100,0.0000,0.0000,0.0000,0.4187,0.6160,0.4600,0.4831,1.7200,9.5300,-1.6800,0.0000,0.1000,0.0000,0.3006,0.5493,0.4992,0.5988,3.0800,9.3700,-0.9800,0.0000,0.1000,0.0000,-0.5052,-0.4913,-0.5144,0.4885,-9.7900,-0.0900,-0.0400,0.0000,0.0000,0.0000,-0.4281,-0.5719,0.4444,0.5404,-2.4800,9.5300,-0.7000,0.0000,0.0000,0.0000,0.5184,0.6438,0.1974,0.5269,4.5900,8.5200,0.8700,0.0000,0.0000,0.0000
525671,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0128,0.0201,-23.7085,-17.7759,0.1030,9.8737,-0.0239,0.7019,-0.8850,-2.3804,0.1030,9.8737,-0.0239,0.7019,-0.8850,-2.3804,-8.8577,1.3147,4.2507,0.0042,-0.1623,0.0115,0.4954,-0.3880,0.3778,0.6792,0.5620,0.4114,0.5858,-0.4142,-9.8400,-0.3000,-0.1900,0.0000,0.0000,0.0000,0.4186,0.6159,0.4602,0.4832,1.7600,9.5100,-1.6500,0.0000,0.2000,0.0000,0.3004,0.5492,0.4994,0.5989,3.0500,9.3500,-0.9500,0.0000,0.2000,0.0000,-0.5052,-0.4913,-0.5144,0.4885,-9.8200,-0.0900,-0.0500,0.0000,0.0000,0.0000,-0.4280,-0.5718,0.4445,0.5404,-2.5000,9.5100,-0.7100,0.0000,0.0000,0.0000,0.5184,0.6438,0.1974,0.5269,4.6200,8.5500,0.9100,0.0000,0.0000,0.0000
525672,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,0.0018,-0.0183,-23.7085,-17.7759,0.0335,9.7923,-0.0335,0.5493,-0.7629,-2.2583,0.0335,9.7923,-0.0335,0.5493,-0.7629,-2.2583,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.5620,0.4114,0.5858,-0.4142,-9.8400,-0.3000,-0.1900,0.0000,0.0000,0.0000,0.4186,0.6159,0.4602,0.4832,1.7600,9.5100,-1.6500,0.0000,0.2000,0.0000,0.3002,0.5490,0.4995,0.5990,3.1600,9.2700,-1.0200,0.0000,0.2000,0.0000,-0.5052,-0.4913,-0.5144,0.4885,-9.8200,-0.0900,-0.0500,0.0000,0.0000,0.0000,-0.4280,-0.5718,0.4445,0.5404,-2.5100,9.4900,-0.7300,0.0000,0.0000,0.0000,0.5184,0.6438,0.1974,0.5269,4.6100,8.5200,0.9000,0.0000,0.0000,0.0000
525673,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0183,-0.0146,-23.7085,-17.7759,0.0407,9.7444,0.0311,0.5493,-0.7324,-2.2888,0.0407,9.7444,0.0311,0.5493,-0.7324,-2.2888,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.5620,0.4114,0.5858,-0.4142,-9.7800,-0.2600,-0.1900,0.0000,0.0000,0.0000,0.4185,0.6157,0.4604,0.4833,1.7800,9.5000,-1.6200,0.0000,0.2000,0.0000,0.2999,0.5489,0.4996,0.5992,3.2500,9.2300,-1.0500,0.0000,0.2000,0.0000,-0.5051,-0.4913,-0.5143,0.4886,-9.8200,-0.0600,-0.0700,0.0000,0.0000,0.0000,-0.4280,-0.5718,0.4445,0.5405,-2.5600,9.4900,-0.7500,0.0000,0.0000,0.0000,0.5184,0.6438,0.1974,0.5269,4.6100,8.5200,0.9000,0.0000,0.0000,0.0000
525674,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0073,-0.0128,-23.7085,-17.7759,0.0503,9.8114,0.0503,0.3662,-0.8850,-2.3193,0.0503,9.8114,0.0503,0.3662,-0.8850,-2.3193,-8.8014,1.3538,4.2396,0.0085,-0.1629,0.0127,0.4956,-0.3877,0.3776,0.6793,0.5619,0.4114,0.5858,-0.4142,-9.7800,-0.2500,-0.1900,0.0000,0.0000,0.0000,0.4184,0.6156,0.4606,0.4834,1.8500,9.4700,-1.6100,0.0000,0.2000,0.0000,0.2997,0.5487,0.4997,0.5993,3.3100,9.2200,-1.1100,0.0000,0.2000,0.0000,-0.5051,-0.4913,-0.5143,0.4886,-9.8000,-0.1100,-0.0600,0.0000,0.0000,0.0000,-0.4280,-0.5717,0.4446,0.5405,-2.5500,9.5000,-0.7400,0.0000,0.0000,0.0000,0.5183,0.6438,0.1974,0.5269,4.6300,8.5200,0.9300,0.0000,0.0000,0.0000
525675,0,0,1,-22.1704,-15.3149,-10.3711,-3.5156,-0.0073,-0.0128,-23.7085,-17.7759,0.0335,9.7875,0.0383,0.5188,-0.8850,-2.1667,0.0335,9.7875,0.0383,0.5188,-0.8850,-2.1667,-8.8303,1.3977,4.1764,0.0187,-0.1584,0.0128,0.4957,-0.3874,0.3775,0.6795,0.5619,0.4115,0.5858,-0.4143,-9.7900,-0.2600,-0.2000,0.0000,0.0000,0.0000,0.4182,0.6154,0.4607,0.4836,1.8500,9.4400,-1.5500,0.0000,0.2000,0.0000,0.2997,0.5487,0.4997,0.5993,3.3100,9.2200,-1.1100,0.0000,0.2000,0.0000,-0.5051,-0.4913,-0.5143,0.4887,-9.7900,-0.1200,-0.0600,0.0000,0.0000,0.0000,-0.4280,-0.5717,0.4446,0.5405,-2.5500,9.5000,-0.7400,0.0000,0.0000,0.0000,0.5183,0.6438,0.1975,0.5269,4.6300,8.4900,0.9200,0.0000,0.0000,0.0000
525676,0,0,1,-22.1704,-15.2930,-10.3711,-3.4937,-0.0165,-0.0238,-23.7085,-17.7759,0.0024,9.7971,0.0527,0.4272,-0.4272,-2.1667,0.0024,9.7971,0.0527,0.4272,-0.4272,-2.1667,-8.8303,1.3977,4.1764,0.0187,-0.1584,0.0128,0.4957,-0.3874,0.3775,0.6795,0.5619,0.4115,0.5858,-0.4143,-9.7500,-0.2700,-0.2300,0.0000,0.0000,0.0000,0.4182,0.6154,0.4607,0.4836,1.8500,9.4400,-1.5500,0.0000,0.2000,0.0000,0.2994,0.5486,0.4998,0.5995,3.3000,9.2200,-1.0100,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4887,-9.7900,-0.1300,-0.0700,0.0000,0.0000,0.0000,-0.4280,-0.5717,0.4446,0.5405,-2.5500,9.4900,-0.7400,0.0000,0.0000,0.0000,0.5183,0.6438,0.1975,0.5269,4.6400,8.5300,0.9400,0.0000,0.0000,0.0000
525677,0,0,1,-22.1704,-15.2930,-10.3711,-3.4937,0.0000,0.0092,-23.7085,-17.7759,-0.0239,9.7731,0.0024,0.3357,-0.7935,-1.9531,-0.0239,9.7731,0.0024,0.3357,-0.7935,-1.9531,-8.8754,1.4059,4.0900,0.0160,-0.1390,0.0163,0.4959,-0.3871,0.3773,0.6796,0.5619,0.4115,0.5858,-0.4143,-9.7500,-0.2700,-0.2300,0.0000,0.0000,0.0000,0.4181,0.6153,0.4609,0.4837,1.9600,9.4400,-1.5300,0.0000,0.2000,0.0000,0.2991,0.5484,0.5000,0.5998,3.4300,9.1700,-1.0700,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4888,-9.8000,-0.1200,-0.0500,0.0000,0.0000,0.0000,-0.4280,-0.5717,0.4446,0.5405,-2.5700,9.5100,-0.7200,0.0000,0.0000,0.0000,0.5183,0.6438,0.1975,0.5269,4.6100,8.5100,0.9600,0.0000,0.0000,0.0000
525678,0,0,1,-22.1704,-15.2930,-10.3711,-3.4937,0.0018,-0.0110,-23.7085,-17.7759,0.0263,9.8186,0.0886,0.3967,-0.8545,-1.9226,0.0263,9.8186,0.0886,0.3967,-0.8545,-1.9226,-8.8754,1.4059,4.0900,0.0160,-0.1390,0.0163,0.4959,-0.3871,0.3773,0.6796,0.5618,0.4115,0.5858,-0.4143,-9.7500,-0.2700,-0.2500,0.0000,0.0000,0.0000,0.4180,0.6151,0.4611,0.4839,2.0600,9.4000,-1.5400,0.0000,0.2000,0.0000,0.2987,0.5482,0.5001,0.6000,3.5500,9.1300,-1.0200,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4888,-9.8000,-0.1200,-0.0500,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4446,0.5405,-2.5800,9.5200,-0.7000,0.0000,0.0000,0.0000,0.5183,0.6438,0.1975,0.5269,4.6100,8.5100,0.9600,0.0000,0.0000,0.0000
525679,0,0,1,-22.1704,-15.2930,-10.3711,-3.4937,0.0128,0.0110,-23.7085,-17.7759,-0.0120,9.7205,0.0000,0.2747,-0.4272,-1.8311,-0.0120,9.7205,0.0000,0.2747,-0.4272,-1.8311,-8.8754,1.4059,4.0900,0.0160,-0.1390,0.0163,0.4959,-0.3871,0.3773,0.6796,0.5618,0.4115,0.5859,-0.4143,-9.7500,-0.2700,-0.2500,0.0000,0.0000,0.0000,0.4178,0.6149,0.4613,0.4840,2.1500,9.3500,-1.5300,0.0000,0.2000,0.0000,0.2984,0.5480,0.5002,0.6002,3.6700,9.0800,-0.9300,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4888,-9.8000,-0.1400,-0.0700,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4447,0.5405,-2.5800,9.5100,-0.6700,0.0000,0.0000,0.0000,0.5182,0.6439,0.1975,0.5270,4.6100,8.5200,0.9500,0.0000,0.0000,0.0000
525680,0,0,1,-22.1704,-15.2930,-10.3711,-3.4937,0.0055,0.0110,-23.7085,-17.7759,0.0000,9.7157,0.0575,0.3357,-0.9155,-1.7090,0.0000,9.7157,0.0575,0.3357,-0.9155,-1.7090,-8.9274,1.4087,4.0580,0.0022,-0.1113,0.0237,0.4959,-0.3869,0.3772,0.6798,0.5618,0.4115,0.5859,-0.4143,-9.7200,-0.2900,-0.2200,0.0000,0.0000,0.0000,0.4177,0.6148,0.4615,0.4842,2.2100,9.3800,-1.5700,0.0000,0.2000,0.0000,0.2984,0.5480,0.5002,0.6002,3.6700,9.0800,-0.9300,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4888,-9.8400,-0.1400,-0.0600,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4447,0.5405,-2.5700,9.5100,-0.6400,0.0000,0.0000,0.0000,0.5182,0.6439,0.1975,0.5270,4.6200,8.5500,0.9800,0.0000,0.0000,0.0000
525681,0,0,1,-22.1484,-15.2930,-10.3491,-3.4937,0.0128,-0.0128,-23.7085,-17.7759,-0.0503,9.7348,0.0263,0.3662,-0.8850,-1.8921,-0.0503,9.7348,0.0263,0.3662,-0.8850,-1.8921,-8.9274,1.4087,4.0580,0.0022,-0.1113,0.0237,0.4959,-0.3869,0.3772,0.6798,0.5617,0.4115,0.5859,-0.4143,-9.7400,-0.2600,-0.2400,0.0000,0.0000,0.0000,0.4177,0.6148,0.4615,0.4842,2.2100,9.3800,-1.5700,0.0000,0.2000,0.0000,0.2980,0.5478,0.5004,0.6004,3.8800,9.0100,-0.9900,0.0000,0.3000,0.0000,-0.5051,-0.4913,-0.5142,0.4889,-9.8400,-0.1400,-0.0500,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4447,0.5405,-2.5700,9.5100,-0.6400,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5270,4.5900,8.5200,0.9800,0.0000,0.0000,0.0000
525682,0,0,1,-22.1484,-15.2930,-10.3491,-3.4937,-0.0110,0.0037,-23.7085,-17.7759,-0.0192,9.7588,0.0431,0.4272,-0.7324,-1.5869,-0.0192,9.7588,0.0431,0.4272,-0.7324,-1.5869,-8.8710,1.4169,4.1457,-0.0127,-0.0828,0.0292,0.4960,-0.3867,0.3771,0.6799,0.5617,0.4115,0.5859,-0.4143,-9.7400,-0.2600,-0.2400,0.0000,0.0000,0.0000,0.4176,0.6147,0.4616,0.4843,2.2500,9.3700,-1.6100,0.0000,0.2000,0.0000,0.2977,0.5476,0.5005,0.6007,3.9400,8.9800,-0.8500,0.0000,0.3000,0.0000,-0.5051,-0.4912,-0.5142,0.4889,-9.8400,-0.1400,-0.0400,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4447,0.5405,-2.5700,9.5100,-0.6400,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.5600,8.5500,0.9600,0.0000,0.0000,0.0000
525683,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,-0.0055,-0.0275,-23.7085,-17.7759,-0.0622,9.6486,0.0024,0.2747,-0.7324,-1.6785,-0.0622,9.6486,0.0024,0.2747,-0.7324,-1.6785,-8.8710,1.4169,4.1457,-0.0127,-0.0828,0.0292,0.4960,-0.3867,0.3771,0.6799,0.5617,0.4115,0.5859,-0.4143,-9.7400,-0.2100,-0.2000,0.0000,0.0000,0.0000,0.4175,0.6145,0.4618,0.4844,2.2600,9.4200,-1.6900,0.0000,0.2000,0.0000,0.2974,0.5474,0.5006,0.6009,4.0900,8.9800,-0.8000,0.0000,0.3000,0.0000,-0.5051,-0.4912,-0.5141,0.4889,-9.8300,-0.1700,-0.0200,0.0000,0.0000,0.0000,-0.4280,-0.5716,0.4447,0.5405,-2.5800,9.4900,-0.5900,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.5600,8.5500,0.9600,0.0000,0.0000,0.0000
525684,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0092,0.0183,-23.7085,-17.7759,-0.0383,9.7252,-0.0096,0.2441,-0.7935,-1.8311,-0.0383,9.7252,-0.0096,0.2441,-0.7935,-1.8311,-8.8111,1.3904,4.2037,-0.0074,-0.0554,0.0353,0.4959,-0.3866,0.3771,0.6800,0.5617,0.4115,0.5859,-0.4143,-9.7200,-0.2400,-0.2200,0.0000,0.0000,0.0000,0.4173,0.6144,0.4620,0.4845,2.2600,9.4200,-1.7700,0.0000,0.2000,0.0000,0.2971,0.5472,0.5007,0.6011,4.1500,9.0000,-0.7100,0.0000,0.3000,0.0000,-0.5051,-0.4912,-0.5141,0.4889,-9.8500,-0.1600,0.0000,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4447,0.5405,-2.5800,9.5000,-0.5800,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.6200,8.5300,0.9600,0.0000,0.0000,0.0000
525685,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0110,0.0165,-23.7085,-17.7759,-0.0335,9.6917,0.0575,0.3052,-0.6714,-1.7700,-0.0335,9.6917,0.0575,0.3052,-0.6714,-1.7700,-8.8111,1.3904,4.2037,-0.0074,-0.0554,0.0353,0.4959,-0.3866,0.3771,0.6800,0.5616,0.4116,0.5859,-0.4143,-9.7300,-0.2700,-0.2600,0.0000,0.0000,0.0000,0.4172,0.6143,0.4621,0.4846,2.2400,9.3900,-1.8800,0.0000,0.2000,0.0000,0.2971,0.5472,0.5007,0.6011,4.1500,9.0000,-0.7100,0.0000,0.3000,0.0000,-0.5051,-0.4912,-0.5141,0.4889,-9.8400,-0.1600,0.0000,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5405,-2.5700,9.4900,-0.5400,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.6300,8.5300,0.9500,0.0000,0.0000,0.0000
525686,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0165,-0.0220,-23.7085,-17.7759,-0.0383,9.7013,0.0000,0.3357,-0.7019,-1.5259,-0.0383,9.7013,0.0000,0.3357,-0.7019,-1.5259,-8.8111,1.3904,4.2037,-0.0074,-0.0554,0.0353,0.4959,-0.3866,0.3771,0.6800,0.5616,0.4116,0.5860,-0.4143,-9.7200,-0.2600,-0.2500,0.0000,0.0000,0.0000,0.4172,0.6143,0.4621,0.4846,2.2400,9.3900,-1.8800,0.0000,0.2000,0.0000,0.2968,0.5471,0.5009,0.6013,4.2300,9.0400,-0.7400,0.0000,0.3000,0.0000,-0.5051,-0.4912,-0.5141,0.4890,-9.8300,-0.1700,0.0200,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5405,-2.5700,9.4900,-0.5400,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.6600,8.5400,0.9800,0.0000,0.0000,0.0000
525687,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0037,-0.0146,-23.7085,-17.7759,-0.0311,9.6582,-0.0024,0.2747,-0.7324,-1.8616,-0.0311,9.6582,-0.0024,0.2747,-0.7324,-1.8616,-8.8117,1.3678,4.1546,-0.0025,-0.0453,0.0321,0.4959,-0.3865,0.3770,0.6801,0.5616,0.4116,0.5860,-0.4143,-9.7200,-0.2600,-0.2500,0.0000,0.0000,0.0000,0.4171,0.6142,0.4623,0.4847,2.2900,9.3900,-1.9500,0.0000,0.2000,0.0000,0.2965,0.5469,0.5010,0.6015,4.2900,9.0100,-0.8000,0.0000,0.2000,0.0000,-0.5051,-0.4912,-0.5141,0.4890,-9.8300,-0.1700,0.0200,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5405,-2.5700,9.4600,-0.5200,0.0000,0.0000,0.0000,0.5182,0.6439,0.1976,0.5269,4.6600,8.5400,0.9800,0.0000,0.0000,0.0000
525688,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,-0.0055,-0.0092,-23.7085,-17.7759,0.0024,9.7588,0.0168,0.3357,-0.7324,-1.5869,0.0024,9.7588,0.0168,0.3357,-0.7324,-1.5869,-8.8117,1.3678,4.1546,-0.0025,-0.0453,0.0321,0.4959,-0.3865,0.3770,0.6801,0.5616,0.4116,0.5860,-0.4143,-9.7200,-0.2800,-0.2500,0.0000,0.0000,0.0000,0.4169,0.6140,0.4624,0.4848,2.3100,9.4000,-1.9900,0.0000,0.2000,0.0000,0.2962,0.5468,0.5011,0.6017,4.3300,9.0000,-0.8400,0.0000,0.2000,0.0000,-0.5051,-0.4912,-0.5141,0.4890,-9.7600,-0.1800,0.0000,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5405,-2.5400,9.4800,-0.4900,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5269,4.6600,8.5200,0.9700,0.0000,0.0000,0.0000
525689,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0092,0.0183,-23.7085,-17.7759,-0.0527,9.6391,-0.0024,0.3052,-1.0071,-1.8921,-0.0527,9.6391,-0.0024,0.3052,-1.0071,-1.8921,-8.8181,1.3427,4.0561,-0.0085,-0.0345,0.0303,0.4959,-0.3864,0.3770,0.6802,0.5615,0.4116,0.5860,-0.4144,-9.7200,-0.2800,-0.2600,0.0000,0.0000,0.0000,0.4168,0.6139,0.4626,0.4850,2.4000,9.3800,-1.9800,0.0000,0.2000,0.0000,0.2960,0.5467,0.5012,0.6018,4.4200,8.9200,-0.9500,0.0000,0.2000,0.0000,-0.5051,-0.4911,-0.5141,0.4890,-9.8400,-0.1600,0.0000,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5405,-2.5600,9.4700,-0.4800,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5269,4.6600,8.5200,0.9700,0.0000,0.0000,0.0000
525690,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,-0.0073,-0.0110,-23.7085,-17.7759,0.0215,9.7013,-0.0622,0.3357,-0.6104,-1.8311,0.0215,9.7013,-0.0622,0.3357,-0.6104,-1.8311,-8.8181,1.3427,4.0561,-0.0085,-0.0345,0.0303,0.4959,-0.3864,0.3770,0.6802,0.5615,0.4116,0.5860,-0.4144,-9.6600,-0.2600,-0.2200,0.0000,0.0000,0.0000,0.4167,0.6138,0.4627,0.4851,2.4700,9.3500,-1.9000,0.0000,0.2000,0.0000,0.2960,0.5467,0.5012,0.6018,4.4200,8.9200,-0.9500,0.0000,0.2000,0.0000,-0.5051,-0.4911,-0.5141,0.4890,-9.7800,-0.1700,0.0200,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5404,-2.5800,9.4500,-0.4700,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5268,4.6600,8.5200,0.9400,0.0000,0.0000,0.0000
525691,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0220,-0.0238,-23.7085,-17.7759,0.0000,9.7013,0.0192,0.3052,-0.6714,-1.7395,0.0000,9.7013,0.0192,0.3052,-0.6714,-1.7395,-8.8181,1.3427,4.0561,-0.0085,-0.0345,0.0303,0.4959,-0.3864,0.3770,0.6802,0.5615,0.4116,0.5860,-0.4144,-9.6600,-0.2600,-0.2200,0.0000,0.0000,0.0000,0.4165,0.6137,0.4629,0.4852,2.5800,9.3200,-1.8500,0.0000,0.2000,0.0000,0.2957,0.5465,0.5013,0.6020,4.4400,8.9200,-0.9600,0.0000,0.2000,0.0000,-0.5051,-0.4911,-0.5141,0.4890,-9.7700,-0.1900,0.0100,0.0000,0.0000,0.0000,-0.4281,-0.5715,0.4448,0.5404,-2.5800,9.4500,-0.4700,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5268,4.6800,8.5100,0.9100,0.0000,0.0000,0.0000
525692,0,0,1,-22.1704,-15.3149,-10.3491,-3.4937,0.0092,0.0165,-23.7085,-17.7759,-0.0503,9.6534,-0.0862,0.3662,-0.7324,-1.8311,-0.0503,9.6534,-0.0862,0.3662,-0.7324,-1.8311,-8.9255,1.3530,4.0003,-0.0034,-0.0082,0.0347,0.4959,-0.3864,0.3770,0.6802,0.5614,0.4116,0.5860,-0.4144,-9.6700,-0.2300,-0.2000,0.0000,0.0000,0.0000,0.4165,0.6137,0.4629,0.4852,2.5800,9.3200,-1.8500,0.0000,0.2000,0.0000,0.2955,0.5464,0.5014,0.6021,4.4800,8.9500,-0.9800,0.0000,0.2000,0.0000,-0.5051,-0.4911,-0.5141,0.4890,-9.7700,-0.1900,0.0100,0.0000,0.0000,0.0000,-0.4282,-0.5715,0.4448,0.5404,-2.5800,9.4300,-0.4400,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5268,4.7000,8.5000,0.8700,0.0000,0.0000,0.0000
525693,0,0,1,-22.1704,-15.2930,-10.3491,-3.4717,-0.0146,-0.0110,-23.7085,-17.7759,-0.0120,9.6726,0.0048,0.5188,-0.5188,-1.7395,-0.0120,9.6726,0.0048,0.5188,-0.5188,-1.7395,-8.9255,1.3530,4.0003,-0.0034,-0.0082,0.0347,0.4959,-0.3864,0.3770,0.6802,0.5614,0.4116,0.5860,-0.4144,-9.6800,-0.2600,-0.1700,0.0000,0.0000,0.0000,0.4164,0.6136,0.4630,0.4854,2.7000,9.3000,-1.8000,0.0000,0.2000,0.0000,0.2953,0.5462,0.5015,0.6023,4.4900,8.9600,-0.9500,0.0000,0.2000,0.0000,-0.5051,-0.4911,-0.5141,0.4890,-9.7800,-0.1900,0.0200,0.0000,0.0000,0.0000,-0.4282,-0.5715,0.4448,0.5404,-2.5900,9.4500,-0.4400,0.0000,0.0000,0.0000,0.5182,0.6440,0.1977,0.5268,4.7000,8.5000,0.8700,0.0000,0.0000,0.0000
